"","stop","Type"
"537",3,"Permanent"
"538",2,"Permanent"
"539",2,"Permanent"
"540",2,"Permanent"
"541",2,"Permanent"
"542",2,"Permanent"
"543",2,"Permanent"
"544",2,"Permanent"
"545",2,"Permanent"
"546",3,"Permanent"
"547",2,"Permanent"
"548",2,"Permanent"
"549",2,"Permanent"
"550",3,"Permanent"
"551",3,"Permanent"
"552",3,"Permanent"
"553",3,"Permanent"
"554",2,"Permanent"
"555",3,"Permanent"
"556",3,"Permanent"
"557",3,"Permanent"
"558",3,"Permanent"
"559",1,"Permanent"
"560",1,"Permanent"
"561",1,"Permanent"
"562",1,"Permanent"
"563",1,"Permanent"
"564",1,"Permanent"
"565",1,"Permanent"
"566",1,"Permanent"
"567",1,"Permanent"
"568",1,"Permanent"
"569",1,"Permanent"
"570",1,"Permanent"
"571",1,"Permanent"
"572",1,"Permanent"
"573",1,"Permanent"
"574",1,"Permanent"
"575",1,"Permanent"
"576",1,"Permanent"
"577",1,"Permanent"
"578",1,"Permanent"
"579",1,"Permanent"
"580",1,"Permanent"
"581",2,"Permanent"
"582",2,"Permanent"
"583",2,"Permanent"
"584",2,"Permanent"
"585",2,"Permanent"
"586",2,"Permanent"
"587",2,"Permanent"
"588",2,"Permanent"
"589",2,"Permanent"
"590",2,"Permanent"
"591",2,"Permanent"
"592",2,"Permanent"
"593",2,"Permanent"
"594",2,"Permanent"
"595",2,"Permanent"
"596",2,"Permanent"
"597",3,"Permanent"
"598",2,"Permanent"
"599",2,"Permanent"
"600",2,"Permanent"
"601",2,"Permanent"
"602",3,"Permanent"
"603",3,"Permanent"
"604",3,"Permanent"
"605",3,"Permanent"
"606",3,"Permanent"
"607",3,"Permanent"
"608",3,"Permanent"
"609",1,"Permanent"
"610",1,"Permanent"
"611",1,"Permanent"
"612",1,"Permanent"
"613",1,"Permanent"
"614",1,"Permanent"
"615",1,"Permanent"
"616",1,"Permanent"
"617",1,"Permanent"
"618",1,"Permanent"
"619",1,"Permanent"
"620",1,"Permanent"
"621",1,"Permanent"
"622",1,"Permanent"
"623",1,"Permanent"
"624",1,"Permanent"
"625",1,"Permanent"
"626",1,"Permanent"
"627",1,"Permanent"
"628",1,"Permanent"
"629",1,"Permanent"
"630",1,"Permanent"
"631",1,"Permanent"
"632",1,"Permanent"
"633",2,"Permanent"
"634",2,"Permanent"
"635",2,"Permanent"
"636",2,"Permanent"
"637",2,"Permanent"
"638",2,"Permanent"
"639",2,"Permanent"
"640",2,"Permanent"
"641",2,"Permanent"
"642",2,"Permanent"
"643",2,"Permanent"
"644",2,"Permanent"
"645",2,"Permanent"
"646",2,"Permanent"
"647",2,"Permanent"
"648",2,"Permanent"
"649",2,"Permanent"
"650",2,"Permanent"
"651",2,"Permanent"
"652",3,"Permanent"
"653",2,"Permanent"
"654",2,"Permanent"
"655",2,"Permanent"
"656",3,"Permanent"
"657",2,"Permanent"
"658",3,"Permanent"
"659",3,"Permanent"
"660",3,"Permanent"
"661",3,"Permanent"
"662",3,"Permanent"
"663",3,"Permanent"
"664",3,"Permanent"
"665",3,"Permanent"
"666",3,"Permanent"
"667",3,"Permanent"
"668",3,"Permanent"
"669",4,"Permanent"
"670",3,"Permanent"
"671",4,"Permanent"
"672",3,"Permanent"
"673",3,"Permanent"
"674",3,"Permanent"
"675",4,"Permanent"
"676",3,"Permanent"
"677",4,"Permanent"
"678",4,"Permanent"
"679",3,"Permanent"
"680",4,"Permanent"
"681",4,"Permanent"
"682",4,"Permanent"
"683",5,"Permanent"
"684",5,"Permanent"
"685",5,"Permanent"
"686",4,"Permanent"
"687",5,"Permanent"
"688",4,"Permanent"
"689",4,"Permanent"
"690",4,"Permanent"
"691",5,"Permanent"
"692",5,"Permanent"
"693",3,"Permanent"
"694",6,"Permanent"
"695",4,"Permanent"
"696",3,"Permanent"
"697",1,"Permanent"
"698",1,"Permanent"
"699",1,"Permanent"
"700",1,"Permanent"
"701",1,"Permanent"
"702",1,"Permanent"
"703",1,"Permanent"
"704",1,"Permanent"
"705",2,"Permanent"
"706",1,"Permanent"
"707",2,"Permanent"
"708",1,"Permanent"
"709",1,"Permanent"
"710",1,"Permanent"
"711",1,"Permanent"
"712",1,"Permanent"
"713",1,"Permanent"
"714",2,"Permanent"
"715",1,"Permanent"
"716",1,"Permanent"
"717",2,"Permanent"
"718",2,"Permanent"
"719",1,"Permanent"
