stop,circuitRef
1,yas_marina
1,yas_marina
1,yas_marina
1,yas_marina
1,yas_marina
1,yas_marina
2,yas_marina
1,yas_marina
1,yas_marina
1,yas_marina
1,yas_marina
2,yas_marina
2,yas_marina
2,yas_marina
2,yas_marina
2,yas_marina
2,yas_marina
2,yas_marina
2,yas_marina
3,yas_marina
2,yas_marina
2,yas_marina
2,yas_marina
2,yas_marina
2,yas_marina
2,yas_marina
2,yas_marina
2,yas_marina
2,yas_marina
2,yas_marina
3,yas_marina
1,interlagos
1,interlagos
1,interlagos
1,interlagos
1,interlagos
1,interlagos
1,interlagos
1,interlagos
1,interlagos
1,interlagos
1,interlagos
1,interlagos
1,interlagos
1,interlagos
2,interlagos
1,interlagos
1,interlagos
1,interlagos
1,interlagos
1,interlagos
1,interlagos
1,interlagos
1,interlagos
1,interlagos
1,interlagos
3,interlagos
2,interlagos
2,interlagos
2,interlagos
2,interlagos
2,interlagos
2,interlagos
2,interlagos
2,interlagos
2,interlagos
2,interlagos
2,interlagos
2,interlagos
2,interlagos
2,interlagos
2,interlagos
2,interlagos
2,interlagos
3,interlagos
2,interlagos
2,interlagos
3,interlagos
3,interlagos
2,interlagos
2,interlagos
4,interlagos
3,interlagos
3,interlagos
3,interlagos
3,interlagos
3,interlagos
3,interlagos
3,interlagos
1,albert_park
1,albert_park
1,albert_park
1,albert_park
1,albert_park
1,albert_park
1,albert_park
1,albert_park
1,albert_park
1,albert_park
1,albert_park
1,albert_park
1,albert_park
1,albert_park
1,albert_park
1,albert_park
1,albert_park
1,albert_park
2,albert_park
1,albert_park
2,albert_park
2,albert_park
2,albert_park
2,albert_park
2,albert_park
2,albert_park
2,albert_park
2,albert_park
2,albert_park
2,albert_park
2,albert_park
2,albert_park
2,albert_park
2,albert_park
2,albert_park
2,albert_park
3,albert_park
3,albert_park
3,albert_park
3,albert_park
3,albert_park
1,sepang
1,sepang
1,sepang
1,sepang
1,sepang
1,sepang
1,sepang
1,sepang
1,sepang
1,sepang
1,sepang
1,sepang
1,sepang
1,sepang
1,sepang
1,sepang
1,sepang
1,sepang
1,sepang
1,sepang
2,sepang
2,sepang
2,sepang
2,sepang
2,sepang
1,sepang
2,sepang
2,sepang
3,sepang
2,sepang
2,sepang
2,sepang
2,sepang
2,sepang
2,sepang
2,sepang
2,sepang
2,sepang
2,sepang
2,sepang
1,sepang
2,sepang
2,sepang
1,sepang
3,sepang
3,sepang
2,sepang
3,sepang
4,sepang
3,sepang
3,sepang
3,sepang
4,sepang
2,sepang
4,sepang
4,sepang
